FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
0.266764176,0.773895502,0.731638432,0.814176261
0.267551755,0.774369657,0.731753528,0.814569533
0.268339334,0.774872422,0.732701421,0.814569533
0.269126913,0.774872422,0.732701421,0.814569533
0.269914491,0.775339723,0.733047187,0.815369248
0.270702070,0.775853515,0.733521640,0.815515637
0.271489649,0.776326358,0.733521640,0.816363633
0.272277228,0.776326358,0.733521640,0.816363633
0.273064806,0.776789427,0.733521640,0.816406250
0.273852385,0.777256489,0.733695626,0.816598356
0.274639964,0.777256489,0.733695626,0.816598356
0.275427543,0.777785242,0.733695626,0.816927314
0.276215122,0.778309345,0.735092878,0.817049801
0.277002700,0.778309345,0.735092878,0.817049801
0.277790279,0.778713763,0.735155523,0.817095578
0.278577858,0.779236138,0.735155523,0.817095578
0.279365437,0.779718816,0.735412478,0.817407787
0.280153015,0.779718816,0.735412478,0.817407787
0.280940594,0.780220628,0.735430181,0.818604648
0.281728173,0.780679762,0.735653818,0.819244623
0.282515752,0.780679762,0.735653818,0.819244623
0.283303330,0.781117797,0.736694694,0.819417477
0.284090909,0.781550288,0.737280309,0.819746375
0.284878488,0.781550288,0.737280309,0.819746375
0.285666067,0.782012343,0.738475204,0.819746375
0.286453645,0.782462656,0.738925517,0.819999993
0.287241224,0.782871068,0.740055501,0.820881248
0.288028803,0.782871068,0.740055501,0.820881248
0.288816382,0.783351302,0.740429521,0.821359217
0.289603960,0.783846796,0.740812361,0.821359217
0.290391539,0.783846796,0.740812361,0.821359217
0.291179118,0.784317970,0.741363227,0.822413802
0.291966697,0.784774423,0.741727948,0.823255837
0.292754275,0.784774423,0.741727948,0.823255837
0.293541854,0.785225213,0.741873801,0.823255837
0.294329433,0.785658181,0.742115021,0.823275864
0.295117012,0.786054850,0.742296934,0.823369563
0.295904590,0.786054850,0.742296934,0.823369563
0.296692169,0.786478162,0.743179679,0.824134707
0.297479748,0.786897361,0.743682325,0.824134707
0.298267327,0.786897361,0.743682325,0.824134707
0.299054905,0.787315547,0.744485319,0.824137926
0.299842484,0.787738264,0.745845556,0.824186027
0.300630063,0.787738264,0.745845556,0.824186027
0.301417642,0.788166165,0.746435821,0.824704826
0.302205221,0.788546443,0.746435821,0.825847864
0.302992799,0.788945556,0.746653914,0.825847864
0.303780378,0.788945556,0.746653914,0.825847864
0.304567957,0.789335132,0.747456074,0.825847864
0.305355536,0.789690852,0.747937679,0.825862050
0.306143114,0.789690852,0.747937679,0.825862050
0.306930693,0.790066898,0.748778105,0.825862050
0.307718272,0.790459454,0.748796940,0.826295614
0.308505851,0.790459454,0.748796940,0.826295614
0.309293429,0.790880263,0.749494970,0.826821566
0.310081008,0.791258574,0.751710653,0.826976717
0.310868587,0.791626096,0.751915693,0.827876508
0.311656166,0.791626096,0.751915693,0.827876508
0.312443744,0.791979849,0.752390087,0.828496039
0.313231323,0.792363286,0.752659559,0.828544080
0.314018902,0.792363286,0.752659559,0.828544080
0.314806481,0.792709827,0.752688169,0.828544080
0.315594059,0.793073237,0.753346086,0.828544080
0.316381638,0.793073237,0.753346086,0.828544080
0.317169217,0.793499231,0.754174411,0.828544080
0.317956796,0.793880701,0.754697263,0.830291986
0.318744374,0.794194102,0.755368829,0.830421388
0.319531953,0.794194102,0.755368829,0.830421388
0.320319532,0.794580579,0.755577087,0.830421388
0.321107111,0.794959009,0.755577087,0.830726743
0.321894689,0.794959009,0.755577087,0.830726743
0.322682268,0.795301557,0.756214142,0.830726743
0.323469847,0.795626342,0.756833196,0.831792951
0.324257426,0.795626342,0.756833196,0.831792951
0.325045005,0.795961082,0.756833196,0.831792951
0.325832583,0.796393216,0.757575750,0.831932783
0.326620162,0.796779037,0.758382618,0.832116783
0.327407741,0.796779037,0.758382618,0.832116783
0.328195320,0.797117412,0.758382618,0.832116783
0.328982898,0.797395349,0.758655787,0.832553804
0.329770477,0.797395349,0.758655787,0.832553804
0.330558056,0.797724485,0.759660721,0.832553804
0.331345635,0.798059940,0.759853363,0.833489239
0.332133213,0.798059940,0.759853363,0.833489239
0.332920792,0.798412442,0.760330558,0.834424675
0.333708371,0.798746943,0.760330558,0.835326612
0.334495950,0.799112856,0.760971069,0.835326612
0.335283528,0.799112856,0.760971069,0.835326612
0.336071107,0.799456060,0.761018634,0.835326612
0.336858686,0.799861312,0.761332095,0.835326612
0.337646265,0.799861312,0.761332095,0.835326612
0.338433843,0.800136685,0.761332095,0.835326612
0.339221422,0.800463021,0.761950314,0.835326612
0.340009001,0.800463021,0.761950314,0.835326612
0.340796580,0.800768077,0.762327433,0.836528778
0.341584158,0.801134646,0.762430966,0.836528778
0.342371737,0.801522136,0.763313591,0.836567938
0.343159316,0.801522136,0.763313591,0.836567938
0.343946895,0.801904619,0.763351738,0.836567938
0.344734473,0.802244544,0.763351738,0.837589383
