epoch,loss,calssify loss,regress loss z,regress loss h,regress loss w,regress loss d,true positive,total positive,true negative,total negative,time,,false negative,false positive,,ACC,TPR,TNR,FPR,FNR,PPV,NPV,F1_Score
10,0.05799661,0.019828415,0.009269298,0.010215606,0.009559913,0.009123378,1230.0,1527.0,6031.0,6108.0,1011.135,,297.0,77.0,,0.95101506,0.805501,0.98739356,0.012606441974639893,0.19449901580810547,0.9410865,0.95306575,0.8680310424137208
11,0.055336323,0.017820677,0.009851005,0.010130082,0.009391895,0.008142666,1284.0,1527.0,6042.0,6108.0,1011.078,,243.0,66.0,,0.9595285,0.8408644,0.9891945,0.010805487632751465,0.1591355800628662,0.95111114,0.9613365,0.8925964830117787
12,0.053174682,0.015958503,0.0094013065,0.009828874,0.009913682,0.008072321,1306.0,1527.0,6037.0,6108.0,1011.271,,221.0,71.0,,0.9617551,0.85527176,0.9883759,0.01162409782409668,0.14472824335098267,0.94843864,0.9646852,0.8994489981243333
13,0.053805307,0.016988473,0.009635984,0.009400882,0.010084208,0.0076957564,1297.0,1527.0,6025.0,6108.0,1011.263,,230.0,83.0,,0.9590046,0.8493779,0.9864113,0.01358872652053833,0.15062212944030762,0.9398551,0.9632294,0.892328851674316
14,0.05192894,0.015025599,0.009910438,0.009343076,0.009908334,0.0077414922,1321.0,1527.0,6037.0,6108.0,1011.41,,206.0,71.0,,0.9637197,0.86509496,0.9883759,0.01162409782409668,0.13490504026412964,0.9489943,0.96700305,0.9051044823903559
15,0.050425857,0.015790839,0.00898412,0.008864334,0.009186441,0.007600122,1300.0,1527.0,6030.0,6108.0,1011.589,,227.0,78.0,,0.9600524,0.8513425,0.9872299,0.012770116329193115,0.14865750074386597,0.9433962,0.9637206,0.8950085550926713
16,0.047494404,0.014230907,0.00912067,0.008437946,0.008820372,0.00688451,1324.0,1527.0,6039.0,6108.0,1010.705,,203.0,69.0,,0.9643746,0.8670596,0.9887033,0.011296689510345459,0.132940411567688,0.95046663,0.9674784,0.9068493357334446
17,0.044879522,0.01474372,0.0089414595,0.0069949105,0.0073644016,0.006835031,1317.0,1527.0,6040.0,6108.0,1011.359,,210.0,68.0,,0.9635887,0.86247545,0.98886704,0.011132955551147461,0.1375245451927185,0.9509025,0.9664,0.9045329991348117
18,0.04120176,0.013113435,0.008090302,0.0059968354,0.007515246,0.006485943,1362.0,1527.0,6046.0,6108.0,1011.028,,165.0,62.0,,0.9702685,0.891945,0.9898494,0.010150611400604248,0.1080549955368042,0.95646065,0.9734342,0.9230769627649454
19,0.040249664,0.013364791,0.00747971,0.0055066803,0.006890668,0.0070078126,1354.0,1527.0,6036.0,6108.0,1011.579,,173.0,72.0,,0.96791095,0.88670594,0.98821217,0.011787831783294678,0.11329406499862671,0.94950914,0.9721372,0.9170335580299479
20,0.03709503,0.013013954,0.0059045437,0.004991654,0.0064346055,0.0067502693,1370.0,1527.0,6040.0,6108.0,1010.728,,157.0,68.0,,0.97053045,0.897184,0.98886704,0.011132955551147461,0.10281598567962646,0.9527121,0.97466516,0.9241146473649338
21,0.028206794,0.0089821005,0.0041933013,0.004123332,0.004776612,0.0061314483,1417.0,1527.0,6068.0,6108.0,1011.334,,110.0,40.0,,0.98035365,0.9279633,0.99345124,0.006548762321472168,0.07203668355941772,0.97254634,0.9821949,0.9497319451056695
22,0.026115688,0.008164747,0.004071232,0.0038382793,0.004331913,0.005709515,1431.0,1527.0,6058.0,6108.0,1011.633,,96.0,50.0,,0.9808775,0.93713164,0.991814,0.008185982704162598,0.06286835670471191,0.96623904,0.9844004,0.9514628321693431
