epoch,loss,calssify loss,"regression 
loss z","regression 
loss h","regression 
loss w","regression 
loss d","true 
positive","total
positive","true 
negative","total 
negative",time,,"false 
negative","false 
positive",,Accuracy,"True Positive Rate
(Sensitivity)","True Negative Rate
(Specificity)","False Negative 
Rate","False Positive 
Rate","Positive 
Predictive
Value","Negative 
Predictive
Value",F1,
164,0.0165 ,0.0049 ,0.0028 ,0.0025 ,0.0029 ,0.0034 ,1455,1505,5984,6020,996.19 ,,50,36,,0.9886 ,0.9668 ,0.9940 ,0.0332 ,0.0060 ,0.9759 ,0.9917 ,0.9713 ,
165,0.0163 ,0.0047 ,0.0026 ,0.0025 ,0.0031 ,0.0034 ,1463,1505,5989,6020,995.99 ,,42,31,,0.9903 ,0.9721 ,0.9949 ,0.0279 ,0.0051 ,0.9793 ,0.9930 ,0.9757 ,
166,0.0159 ,0.0045 ,0.0025 ,0.0024 ,0.0031 ,0.0034 ,1455,1505,5987,6020,995.95 ,,50,33,,0.9890 ,0.9668 ,0.9945 ,0.0332 ,0.0055 ,0.9778 ,0.9917 ,0.9723 ,
167,0.0161 ,0.0048 ,0.0028 ,0.0023 ,0.0030 ,0.0031 ,1463,1505,5979,6020,995.71 ,,42,41,,0.9890 ,0.9721 ,0.9932 ,0.0279 ,0.0068 ,0.9727 ,0.9930 ,0.9724 ,
168,0.0165 ,0.0048 ,0.0027 ,0.0025 ,0.0029 ,0.0036 ,1460,1505,5986,6020,995.58 ,,45,34,,0.9895 ,0.9701 ,0.9944 ,0.0299 ,0.0056 ,0.9772 ,0.9925 ,0.9737 ,
169,0.0163 ,0.0051 ,0.0026 ,0.0024 ,0.0029 ,0.0034 ,1446,1505,5978,6020,996.16 ,,59,42,,0.9866 ,0.9608 ,0.9930 ,0.0392 ,0.0070 ,0.9718 ,0.9902 ,0.9663 ,
170,0.0157 ,0.0042 ,0.0028 ,0.0026 ,0.0028 ,0.0032 ,1463,1505,5990,6020,995.75 ,,42,30,,0.9904 ,0.9721 ,0.9950 ,0.0279 ,0.0050 ,0.9799 ,0.9930 ,0.9760 ,
171,0.0158 ,0.0046 ,0.0026 ,0.0024 ,0.0029 ,0.0033 ,1459,1505,5988,6020,996.35 ,,46,32,,0.9896 ,0.9694 ,0.9947 ,0.0306 ,0.0053 ,0.9785 ,0.9924 ,0.9740 ,
172,0.0161 ,0.0047 ,0.0027 ,0.0024 ,0.0031 ,0.0032 ,1463,1505,5988,6020,996.37 ,,42,32,,0.9902 ,0.9721 ,0.9947 ,0.0279 ,0.0053 ,0.9786 ,0.9930 ,0.9753 ,
173,0.0167 ,0.0051 ,0.0028 ,0.0025 ,0.0030 ,0.0034 ,1458,1505,5979,6020,996.29 ,,47,41,,0.9883 ,0.9688 ,0.9932 ,0.0312 ,0.0068 ,0.9726 ,0.9922 ,0.9707 ,
174,0.0166 ,0.0048 ,0.0028 ,0.0025 ,0.0031 ,0.0033 ,1457,1505,5990,6020,996.36 ,,48,30,,0.9896 ,0.9681 ,0.9950 ,0.0319 ,0.0050 ,0.9798 ,0.9921 ,0.9739 ,
175,0.0161 ,0.0045 ,0.0027 ,0.0025 ,0.0031 ,0.0033 ,1451,1505,5990,6020,996.19 ,,54,30,,0.9888 ,0.9641 ,0.9950 ,0.0359 ,0.0050 ,0.9797 ,0.9911 ,0.9719 ,
176,0.0154 ,0.0041 ,0.0027 ,0.0025 ,0.0029 ,0.0032 ,1459,1505,5992,6020,995.95 ,,46,28,,0.9902 ,0.9694 ,0.9953 ,0.0306 ,0.0047 ,0.9812 ,0.9924 ,0.9753 ,
177,0.0162 ,0.0047 ,0.0026 ,0.0026 ,0.0030 ,0.0033 ,1461,1505,5985,6020,995.69 ,,44,35,,0.9895 ,0.9708 ,0.9942 ,0.0292 ,0.0058 ,0.9766 ,0.9927 ,0.9737 ,
